a	det. 一
moustache|mustache	n. 胡子，须，须状物，髭
mouth	n. 口，嘴巴，河口，人\nv. 说，做鬼脸
mouthful	n. 一口，满口，确切的话
mouthorgan	n. 口琴
mouthpiece	n. 吹口，代言人
mouthwash	n. 废话，漱口剂
movable	n. 动产\nadj. 可动的，可移动的
move	n. 搬家，动\nv. 移动，推动，搬家，动，调动
movement	n. 活动，运动，动作，动
movie	n. 电影(院)，电影，电影业
mow	n. 干草堆，鬼脸\nv. 刈，刈草
mr.	n. (缩)先生
mrs.	n. (缩)夫人，太太
ms.	n. (缩)女士
much	n. 许多\nadj. 许多的\nadv. 常常，十分
muck	n. 厩肥，污物\nv. 把...弄脏，施厩肥于
muckrake	n. 粪耙\nv. 搜集并揭发官吏的丑事
mucous	adj. 黏液的
mud	n. 泥浆，干泥地，泥
muddle	n. 糊涂状态，混乱状态\nv. 把...弄糟，使糊涂
muddy	v. 使灰暗，使浑浊\nadj. 泥泞的，多烂泥的，浑浊的
mudguard	n. 挡泥板，挡泥罩
muff	n. 手筒，套筒\nv. 漏接，漏接球
muffle	n. 围裹物，唇鼻部\nv. 裹住，捂住，围裹，裹住自己
muffler	n. 围巾，消音器，手套
mufti	n. 便服，穆夫提
mug	n. (有柄)大杯，脸，脸部照片\nv. 给...拍照，攻读
mulberry	n. 桑树，桑椹\nadj. 桑科植物的
mulct	n. 罚金\nv. 处...以罚金，敲...竹杠
mule	n. 骡子，笨蛋，骡
mulish	adj. 似骡的
mullion	n. 直棂\nv. 装直棂于
multifunction	n. 多功能的
multimedia	adj. 使用多种媒体的
multiple	n. 倍数，并联\nadj. 复合的，多次方的，多个的，许多的
multiplication	n. 乘法，增加
multiply	v. 乘，增加，繁殖\nadv. 多样地
multitude	n. 大批，大群，大众，人群
mum	n. 沉默，妈妈\nv. 化装作乐\nadj. 无言的
mumble	n. 咕哝\nv. 咕哝，嘟囔，含糊地说，吻
mummify	v. 皱缩
mummy	n. 木乃伊，妈妈
mumps	n. 腮腺炎
mundane	adj. 尘世的，宇宙的
municipal	adj. 市的，市政的，地方性的，内政的
munificent	adj. 丰厚的，慷慨的
munition	n. 必需品，军火\nv. 从事军需品生产
mural	n. 壁画
murder	n. 谋杀(案)，谋杀，破坏\nv. 扼杀，谋杀
murderer	n. 凶手，杀人犯，谋杀犯
murderous	adj. 杀人的
murky	adj. 阴暗的，朦胧的
murmur	n. 细声，小声话语\nv. 低声说，小声抱怨，小声说
murrain	n. 家畜瘟疫，瘟疫
muscle	n. 筋，肌肉，瘦肉\nv. 使劲挤出，使劲行进
muscular	adj. 肌肉发达的，肌的，肌组成的
muse	n. 沉思，惊异\nv. 沉思，默想，感到惊异
museum	n. 博物馆，陈列馆，收藏物
mushroom	n. “蘑菇，蘑菇，蘑菇形物\nv. 采蘑菇
music	n. 音乐，乐曲，音乐伴奏
musical	n. 歌舞片\nadj. 音乐的，音乐般的
musician	n. 音乐家，作曲家，乐师
musk	n. 麝，麝香
muslim	n. 穆斯林\nadj. 穆斯林的
muslin	n. 帆，女子，薄纱织物
must	n. 必须\nv. 必须，准是\naux. 必须，务必
mustard	n. 芥末，芥菜
muster	n. 赶拢，集合\nv. 搜集，召集
musty	adj. 迟钝的，霉的
mutable	adj. 不定的，会变的
mute	n. 哑巴，鸟粪\nv. 使柔和，消除\nadj. 缄默的，哑的
mutilate	v. 破坏，使残废
mutineer	n. 反叛者
mutinous	adj. 反叛的，难控制的
mutiny	n. 反叛，骚乱\nv. 反叛
mutter	n. 轻声低语\nv. 咕哝，抱怨，小声抱怨
mutton	n. 羊肉，绵羊
mutual	adj. 相互的，共同的，亲密的
muzzle	n. 口套，枪口\nv. 使缄默，吸
muzzy	adj. 模糊不清的
my	pron. 我的\ndet. 我的
myopia	n. 近视，目光短浅
myopic	adj. 近视的
myriad	n. 无数，一万\nadj. 无数(的)，一万的，无数的
myself	pron. 我自己，我亲自
mysterious	adj. 神秘的，玄妙的
mystery	n. 神秘，奥妙，秘事，奥秘
mystic	n. 神秘主义者\nadj. 神秘的，秘教的
mystify	v. 把...难住，使神秘化
myth	n. 神话，编造的话
mythology	n. 神话(学)，神话，神话集
nab	n. 抓人者\nv. 攫取，捉住
nadir	n. 天底，最低点
nag	n. 老马，马\nv. 困扰，使烦恼，唠叨
naiad	n. 游泳女，稚虫
nail	n. 钉子，指甲，纳尔\nv. 钉，截住
naive	adj. 天真的，幼稚的
naivety	n. 天真
naked	adj. 裸体的，赤裸裸的，光赤的
name	n. 姓名，名称，名字，外号\nv. 命名，把...叫作，给...取名字
nameless	adj. 无名的，无名声的
namely	adv. 即，也就是
namesake	n. 名义
nanny	n. 保姆
nap	n. 打盹，小睡，绒毛\nv. 小睡，浇
napalm	n. 纳旁，凝固汽油
nape	n. 项，后颈
naphtha	n. 石脑油，石油
napkin	n. 餐巾(纸)，餐巾，尿布
nappy	n. 酒，尿布
narcissus	n. 水仙，橘黄色
narcotic	n. 麻醉剂\nadj. 催眠的，麻醉的
nark	n. 密探，扫兴的人\nv. 抱怨，告密
narky	adj. 讽刺的，易动怒的
narrate	v. 叙述，作解说
narration	n. 叙述，报道
narrative	n. 记叙文，叙述\nadj. 叙事的
narrator	n. 叙述者，解说员
narrow	n. 狭谷，狭窄部分\nv. 变狭，缩小\nadj. 狭窄的，勉强的，狭的
nasal	n. 鼻骨，鼻音\nadj. 鼻的，尖锐的
nasty	adj. 肮脏的，下流的，龌龊的
natal	adj. 出生的，臀的
nation	n. 国家，国民，民族
national	n. 国民，全国总部\nadj. 民族的，国家的，国民的
nationality	n. 国籍
native	n. 当地人，土人\nadj. 本国的，出生地的，出生的
nativity	n. 出生
nato	n. 北大西洋公约组织
natty	adj. 漂亮的
natural	n. 智力低下的人\nadj. 自然的，通常的，有关自然的
naturalist	n. 博物学家
naturalize	v. 吸收，被吸收
naturally	adv. 自然地
nature	n. 自然，本性，性质，大自然，禀性
naught	n. 零，没有什么\nadj. 不存在的，不重要的
naughty	adj. 淘气的，顽皮的，邪恶的
nausea	n. 恶心，晕船\nv. 恶心，讨厌
nauseate	v. 使恶心，感到恶心
nauseous	adj. 使人厌恶的
nautical	adj. 航海的
naval	adj. 海军的
navel	n. 脐，中心
navigable	adj. 可航行的，可通航的，适航的
navigate	v. 驾驶，航行
navigation	n. 航行，航海，航空，航海术
navigator	n. 航海者，领航员
navy	n. 海军，海军部
nay	n. 否定，否决票\nadv. 不，否
neap	n. 小潮，辕杆\nadj. 升降幅度最小的
near	v. 靠近\nadj. 近的，近似的\nadv. 近，近似地\nprep. 靠近
nearby	adj. 附近的\nadv. 附近(的)，在附近
nearly	adv. 几乎，差不多，极
neat	adj. 整洁的，简洁的，匀整的
nebula	n. 薄翳，星云
nebulous	adj. 星云的，云雾状的，含混的
necessarily	adv. 必然，当然
necessary	adj. 必要的，必然的
necessitate	v. 使需要，强迫
necessity	n. 必要性，必须品，必然，必要
neck	n. 颈，脖子，颈肉，颈项\nv. 割颈杀，变狭
neckband	n. 领口，领圈
necklace	n. 项链，项圈
necktie	n. 绞索，领带
nectar	n. 水果原汁，花蜜
need	n. 需要，贫困，缺少\nv. 需要，缺少\naux. 须要
needful	n. 钱\nadj. 必要的，贫穷的，需要的
needle	n. 针，指针，针叶\nv. 刺激，穿刺
needless	adj. 不必要的，无用的，不需要的
needlework	n. 缝纫，针线活
needy	adj. 贫穷的，贫困的
negate	n. 反面\nv. 否定，取消
negation	n. 否定，反面
negative	n. 负片\nadj. 否定的，禁止的
neglect	n. 疏忽，忽视，忽略\nv. 忽视，漏做
neglectful	adj. 疏忽的
negligence	n. 疏忽，过失
negligent	adj. 粗心大意的，疏忽的
negligible	adj. 微不足道的，极小的
negotiable	adj. 可谈判的，可通行的
negotiate	v. 谈判，交涉，做成
negotiation	n. 谈判
negro	n. 黑人(贬义)，黑人\nadj. 黑人的
neighbour|neighbor	n. 邻居，邻国，邻近的人
neighbourhood|neighborhood	n. 邻里，街坊
neighbouring|neighboring	adj. 邻近的，相邻的
neither	pron. 无一个\nadv. 也，也不\nconj. 既不...又不...
nemesis	n. 报应女神，天谴
neologism	n. 新词，新说
nephew	n. 侄子，外甥，后裔
nerve	n. 神经，胆量，神经质\nv. 使有劲
nerveless	adj. 松散的
nervous	adj. 神经(质)的，，神经的，神经质的
nervy	adj. 脸皮厚的，易激动的
nest	n. 巢，窝，鸟巢\nv. 套叠，筑巢
nestle	v. 安顿，建巢，抱，偎依
net	n. 网，网罗\nv. 捕获，织网\nadj. 净的，纯的
nether	adj. 地下的，地面的，下部的
nettle	n. 荨麻\nv. 惹怒
network	n. 网络，网状组织，网状物，织物\nv. 用网覆盖
neuralgia	n. 神经痛
neurosis	n. 恐惧症
neurotic	adj. 神经机能病的
neuter	n. 无性植物，中性\nv. 抵消，阉割\nadj. 无性的，中性的
neutral	n. 非彩色，空档\nadj. 中立的，中和的，不确定的
neutrality	n. 中立，中性
neutralize	v. 使中和，中和
neutron	n. 中子
never	adv. 从不，永不，未曾，不
nevermore	adv. 永不再
nevertheless	adv. 还是，然而
new	adj. 新的，重新的，新鲜的
newly	adv. 新近，重新
news	n. 新闻，消息
newsboy	n. 报童
newspaper	n. 报纸，新闻纸，报社
newsreel	n. 新闻片
newt	n. 笨蛋，水螈
next	adj. 紧邻的，居后的\nadv. 下一次，然后，接下去，下次
nib	n. 尖突，嘴
nibble	n. 啃，少量食物\nv. 啃
nice	adj. 令人愉快的，好的，好看的
nicely	adv. 谨慎地，恰好地
nicety	n. 优美，准确
niche	n. 壁龛，生态龛\nv. 把...放入壁龛
nick	n. 凹痕，缺刻\nv. 计算，攻击
nickel	n. 镍，镍币，五美分\nv. 把...镀镍
nickname	n. 绰号，诨号，名的略称\nv. 给...起绰号，误称
niece	n. 侄女，外甥女
niggard	n. 小气的人\nv. 行事吝啬\nadj. 小气的
niggardly	adj. 很小的，小气的\nadv. 小气地
night	n. 夜，黑夜
nightclub	n. 夜总会
nightdress	n. 睡衣
nightgown	n. 睡衣
nightingale	n. 夜莺
nightly	adj. 每夜的，晚上的\nadv. 在晚间
nightmare	n. 恶梦，梦魇，睡魔
nightshirt	n. 衬衫式长睡衣
nil	n. 无\nadj. 没有的
nimble	adj. 聪明的，灵活的
nincompoop	n. 傻子
nine	n. 第九，九\nnum. 九
nineteen	n. 第十九，十九\nnum. 十九
nineteenth	n. 第十九，第十九日
ninetieth	n. 第九十
ninety	n. 第九十，九十\nnum. 九十
ninth	num. 第九，九分之一
nip	n. 掐断，一夹\nv. 掐断，折损
nipper	n. 切牙，螯
nipple	n. 螺纹接套，乳头
nitrogen	n. 氮
no	n. 不，反对票\nadj. 没有\nadv. 不,毫不，不，毫不
no.	n. (缩)...号，号码
nobility	n. 高贵，庄严，贵族
noble	n. 工贼头目，贵族\nadj. 高尚的，贵族的，光辉的
nobleman	n. 贵族
nobody	pron. 没有人\nprep. 谁也不
nocturnal	adj. 夜的
nod	n. 点头，懈怠\nv. 点，点头叫
noes	n. no的复数
noise	n. 噪音，吵嚷声，声音，噪声
noiseless	adj. 无声的
noisome	adj. 恶臭的，有害的
noisy	adj. 吵闹的，嘈杂的
nomad	n. 流浪者\nadj. 流浪的，游牧的
nomadic	adj. 流浪的，游牧的
nominal	adj. 名义上的，票面的，名字的
nominate	v. 提名，推荐，任命，命名
nomination	n. 提名，任命，被提名
nominee	n. 被提名者
nonaligned	adj. 不结盟的
nonce	n. 特定场合，强奸犯\nadj. 特定场合的
nonchalant	adj. 漠不关心的
none	pron. 没有一个，没有一人\nprep. 没人，毫无
nonentity	n. 不存在
nonferrous	adj. 不含铁的，非铁的
nonfiction	n. 非小说类写实文学
nonpareil	n. 彩鸟，金冠苹果\nadj. 无比的
nonpayment	n. 未缴纳，微支付
nonplus	v. 使迷惑
nonsense	n. 废话，谬论，胡说
nonsmoker	n. 禁止抽烟的列车车厢
nonstick	adj. 食物不粘锅底的
nonstop	adj. 不断的，直达的\nadv. 不断地
noodle	n. 面条，笨蛋
nook	n. 凹处，角落
noon	n. 中午，正午，午夜
noonday	n. 中午
noone	pron. 没有人
noontide	n. 正午，最高点
noose	n. 绞索，绞刑\nv. 使落入圈套
nope	adv. 不
nor	adv. 也不\nconj. 也不，也没
norm	n. 标准，规范，定额，准则
normal	n. 师范学校，正常人\nadj. 正常的，标准的，平常的
normalization	n. 正常化
normalize	v. 使正常，使标准化，对...正火，正常化
normally	adv. 正常地，通常
north	n. 北，北方\nadj. 北的，北部的，在北方的\nadv. 向北方
northeast	n. 东北(的)，东北，东北部\nadj. 在东北的\nadv. 向东北
northerly	adj. 北的
northern	n. 北部方言，北风\nadj. 北方的，北部的，向北方的
northward	n. 朝北的方向\nadj. 向北的\nadv. 向北(的)，向北
northwest	n. 西北(的)，西北，西北部\nadj. 在西北的\nadv. 向西北
nose	n. 鼻子，气味\nv. 探出，嗅
nosedive	v. 俯冲
nosegay	n. 花束
nosey	adj. 好管闲事的
nostalgia	n. 恋旧，思家病
nostril	n. 鼻孔，鼻孔内壁
not	adv. 不，并非
notable	n. 名人，应召显贵\nadj. 值得注意的，会当家的，著名的
notably	adj. 尤其，值得注意地\nadv. 值得注意地
notary	n. 速记员，文书
notation	n. 记法，注释
notch	n. 槽口，等\nv. 赢得，交媾
note	n. 笔记，注释，便条，按语，短笺\nv. 记录，注意
note-taking	n. 笔记，笔录
notebook	n. 笔记本，笔记薄
noted	adj. 著名的
notepaper	n. 信纸
noteworthy	adj. 值得注意的
nothing	n. 没有东西\npron. 没有东西\nadv. 毫不
notice	n. 注意，通知，警告，关注，征象\nv. 留意，警告，提到
noticeable	adj. 显而易见的，值得注意的
notifiable	adj. 须报告卫生当局的
notification	n. 通知(书)，布告
notify	v. 通知，通告，报告，警告
notion	n. 概念，意见，看法，观念
notorious	adj. 臭名昭著的，著名的
notwithstanding	conj. 尽管
nougat	n. 牛轧糖
nought	n. 零
noun	n. 名词，名词词性
nourish	v. 养育，提供养分，怀抱
nourishment	n. 食物，补品
novel	n. 小说，新附律\nadj. 新颖的，新的
novelette	n. 中篇小说
novelist	n. 小说家
novelty	n. 新奇，新颖，新奇事物
november	n. 十一月
novice	n. 习修士，新手
novitiate	n. 见习，习修士
now	n. 现在\npron. 现在\nconj. 既然
nowadays	adv. 现今，目前
noway	adv. 一点也不
nowhere	pron. 没有地方\nadv. 哪儿也不
noxious	adj. 可憎的，有害的，有毒的
nuclear	adj. 核的，原子核的，核心的，核能的
nucleus	n. (原子)核，核心，核，起点
nude	n. 裸体，裸体画\nadj. 裸体的，肉色的
nudge	n. 轻推\nv. 接近，推进
nugget	n. 天然金块，小块
nuisance	n. 令人讨厌的人或事，妨害行为，讨厌的人
nuke	n. 核武器，原子核
null	n. 无，零，零位\nadj. 不存在的，无价值的
nullify	v. 使无效，取消，使无价值
numb	v. 使麻木，变得麻木\nadj. 冷淡的，麻木的
number	n. 数字，若干，号码，数目，算术\nv. 把...编号，计数
numberless	adj. 数不清的，无号码的
numerable	adj. 可数的
numeral	n. 数词，数字\nadj. 数字的
numerate	v. 读，数\nadj. 识数的
numerator	n. 分子，计算者
numerical	adj. 数字的
numerous	adj. 众多的，大量的，许多的
numskull	n. 笨蛋
nun	n. 修女，尼姑
nuptial	n. 婚礼\nadj. 婚姻的
nurse	n. 护士，保姆\nv. 护理，调养，当保姆
nursery	n. 托儿所，苗圃，温床
nurseryman	n. 苗木培养工
nurture	n. 养育，营养物\nv. 给...营养物，养育
nut	n. 坚果，螺母，干果，核心
nutation	n. 点头，章动
nutcase	n. 疯子
nutcracker	n. 瘪嘴，星鸦，钳子
nuthouse	n. 疯人院
nutrient	n. 营养品\nadj. 营养的
nutriment	n. 营养品
nutrition	n. 营养，营养物
nuts	adj. 发疯的，狂热的\nnut的复数
nutshell	n. 坚果外壳
nuzzle	v. 挨擦，掘
nylon	n. 尼龙，耐纶，耐纶织品
o'clock	adv. 点钟
o.k.	n. (缩)对，行
oak	n. 橡树，栎树，栎木，栎属树
oar	n. 橹，桨，搅棒\nv. 划，划过
oarsman	n. 桨手
oasis	n. 绿洲，沃洲
oath	n. 誓言，誓约，咒骂
obcordate	adj. 倒心形的，固执的
obedience	n. 服从，顺从
obedient	adj. 服从的，顺从的
obeisance	n. 敬礼，敬重
obese	adj. 肥胖的
obey	v. 服从，遵守
obituary	n. 讣告\nadj. 关于死亡的
object	n. 物体，目的，对象\nv. 反对，提出
objection	n. 反对，异议，不愿，不喜欢
objective	n. 目标，宾格，目的\nadj. 客观的，目的的
objector	n. 反对者
oblation	n. 供物
obligate	v. 强使，施恩惠于
obligation	n. 义务，责任，合同
obligatory	adj. 有义务的，专性的
oblige	v. 责成，使感激，强使
oblique	n. 间接格，斜肌\nadj. 斜的\nadv. 成四十五度角地
obliterate	v. 忘掉，消灭\nadj. 删去，抹掉
oblivion	n. 大赦，遗忘
oblong	n. 长方形\nadj. 椭圆形的，长方形的
obloquy	n. 丑名，指责
obnoxious	adj. 有害的，讨厌的
obscene	adj. 不祥的，淫秽的
obscenity	n. 淫秽
obscure	v. 遮蔽，使变暗，使难解\nadj. 无名的，晦涩的
obsequies	n. 葬礼
obsequious	adj. 巴结的，服从的
observance	n. 仪式，习惯
observant	n. 观察者\nadj. 当心的
observation	n. 观察，评述
observe	v. 观察，遵守，注视，说
observer	n. 观察员，观察者
obsess	v. 困扰，迷住
obsession	n. 着迷，着魔
obsolete	adj. 废弃的，废退的
obstacle	n. 障碍(物)，栅栏，障碍
obstinate	adj. 固执的，顽强的，顽固的
obstruct	v. 遮没，阻碍
obstruction	n. 堵塞，妨碍
obtain	v. 获得，持有，达到
obtainable	adj. 可得到的，能获得的
obtrude	v. 强加，伸出
obtuse	adj. 迟钝的，钝的
obverse	n. 前面，正面\nadj. 倒的，对应的
obviate	v. 排除
obvious	adj. 明显的，挡道的，显然的
obviously	adv. 明显地，显然
occasion	n. 场合，盛事，机会，时机，时刻\nv. 引起
occasional	adj. 偶然的，有时的，临时的，偶尔的
